职业名称,P10,P25,P50,P75,P90,soc_minor,soc_name_cn,exposure,wage_rank,exp_rank,wage_q,wage_pct,exp_pct,anomaly_score,soc_major,大类
企业单位负责人*,4.56,6.08,9.6,16.8,30.05,11-1000,高级管理人员,0.7385283287544092,2.0,7.0,Q4高薪(>7.1万),0.9836065573770492,0.9016393442622951,0.08196721311475408,11,管理
工程技术人员,3.96,5.29,7.54,11.76,18.23,17-2000,工程师,0.6295447314934344,9.0,13.5,Q4高薪(>7.1万),0.8688524590163934,0.7950819672131147,0.07377049180327866,17,工程
农业技术人员,2.68,3.6,5.05,7.2,10.01,45-2000,农业工人,0.476863048145576,50.0,23.5,Q1低薪(≤5.2万),0.19672131147540983,0.6311475409836066,-0.43442622950819676,45,农业
卫生专业技术人员,3.36,4.4,6.16,9.09,13.73,29-1000,医疗诊断或治疗从业者,0.4153800285017522,30.0,45.0,Q3中高(6.1-7.1万),0.5245901639344263,0.2786885245901639,0.24590163934426235,29,医疗
经济和金融专业人员,4.0,5.22,7.48,11.81,18.81,13-2000,金融专家,0.8072700770643185,10.0,2.5,Q4高薪(>7.1万),0.8524590163934426,0.9754098360655737,-0.12295081967213117,13,商业财务
法律、社会和宗教专业人员,3.71,5.12,7.97,14.2,21.94,23-1000,律师、法官及相关工作人员,0.7590758430467431,5.0,5.0,Q4高薪(>7.1万),0.9344262295081968,0.9344262295081968,0.0,23,法律
教学人员*,2.92,3.8,5.19,8.26,13.5,25-2000,学校教育教师,0.6216653759699565,48.0,17.0,Q1低薪(≤5.2万),0.22950819672131148,0.7377049180327869,-0.5081967213114754,25,教育
文学艺术、体育专业人员,3.6,4.79,6.85,10.88,16.86,27-1000,艺术和设计工作者,0.7485995002615715,17.0,6.0,Q3中高(6.1-7.1万),0.7377049180327869,0.9180327868852459,-0.180327868852459,27,媒体艺术
新闻出版、文化专业人员,4.2,5.48,8.25,13.34,20.51,27-3000,媒体和通信工作人员,0.7190544871240858,4.0,9.0,Q4高薪(>7.1万),0.9508196721311475,0.8688524590163934,0.08196721311475408,27,媒体艺术
其他专业技术人员,3.75,5.19,7.82,12.05,18.54,17-2000,工程师,0.6295447314934344,6.0,13.5,Q4高薪(>7.1万),0.9180327868852459,0.7950819672131147,0.12295081967213117,17,工程
行政办事及辅助人员,3.6,4.76,6.52,9.87,15.42,43-6000,秘书和行政助理,0.7246325700030164,24.0,8.0,Q3中高(6.1-7.1万),0.6229508196721312,0.8852459016393442,-0.2622950819672131,43,行政文员
安全和消防及辅助人员,3.07,4.03,5.18,7.22,10.15,33-9000,其他保护服务工作人员,0.3087653234137128,49.0,54.0,Q1低薪(≤5.2万),0.21311475409836064,0.13114754098360656,0.08196721311475408,33,安保
其他办事人员和有关人员,3.6,4.8,6.67,10.06,16.1,43-9000,其他办公室和行政支持工作人员,0.7144321117083116,18.0,10.0,Q3中高(6.1-7.1万),0.7213114754098361,0.8524590163934426,-0.13114754098360648,43,行政文员
批发与零售服务人员,3.09,3.98,5.4,8.01,12.27,41-2000,零售销售人员,0.5047700515672018,42.5,20.0,Q2中低(5.2-6.1万),0.319672131147541,0.6885245901639344,-0.3688524590163934,41,销售
交通运输、仓储物流和邮政业服务人员,3.36,4.39,5.96,8.26,11.33,53-3000,机动车操作员,0.2749813883208916,34.5,59.5,Q2中低(5.2-6.1万),0.45081967213114754,0.040983606557377046,0.4098360655737705,53,交通运输
住宿和餐饮服务人员,3.0,3.7,4.82,6.56,8.83,35-3000,食品和饮料服务人员,0.2845750185672584,53.0,58.0,Q1低薪(≤5.2万),0.14754098360655737,0.06557377049180328,0.08196721311475409,35,餐饮
信息传输、软件和信息技术服务人员,4.43,6.16,9.53,14.97,23.08,15-1200,计算机职业,0.8097004584326647,3.0,1.0,Q4高薪(>7.1万),0.9672131147540983,1.0,-0.032786885245901676,15,IT
金融服务人员,5.45,8.16,12.38,18.15,27.07,13-2000,金融专家,0.8072700770643185,1.0,2.5,Q4高薪(>7.1万),1.0,0.9754098360655737,0.024590163934426257,13,商业财务
房地产服务人员,3.17,4.0,5.4,7.61,10.8,41-9000,其他销售及相关工作人员,0.6288212010489892,42.5,16.0,Q2中低(5.2-6.1万),0.319672131147541,0.7540983606557377,-0.43442622950819665,41,销售
租赁和商务服务人员,2.7,3.47,4.68,6.45,9.2,41-3000,销售代表，服务,0.6934330986661867,57.0,11.0,Q1低薪(≤5.2万),0.08196721311475409,0.8360655737704918,-0.7540983606557378,41,销售
技术辅助服务人员,3.57,4.52,6.08,9.04,13.27,19-4000,生命、物理和社会科学技术员,0.573548425851806,32.0,18.0,Q2中低(5.2-6.1万),0.4918032786885246,0.7213114754098361,-0.2295081967213115,19,科学
水利、环境和公共设施管理服务人员,2.46,3.0,3.93,5.13,6.91,45-2000,农业工人,0.476863048145576,60.0,23.5,Q1低薪(≤5.2万),0.03278688524590164,0.6311475409836066,-0.5983606557377049,45,农业
居民服务人员,2.76,3.54,4.78,6.47,8.9,39-9000,其他个人护理和服务工作人员,0.4228050217235162,55.0,44.0,Q1低薪(≤5.2万),0.11475409836065574,0.29508196721311475,-0.180327868852459,39,个人服务
电力、燃气及水供应服务人员,3.6,4.92,7.58,11.51,15.93,17-2000,工程师,0.6295447314934344,8.0,13.5,Q4高薪(>7.1万),0.8852459016393442,0.7950819672131147,0.0901639344262295,17,工程
修理及制作服务人员,3.75,4.86,6.58,8.93,11.57,49-9000,其他安装、维护和维修职业,0.3479159772457532,22.0,46.0,Q3中高(6.1-7.1万),0.6557377049180327,0.26229508196721313,0.3934426229508196,49,维修
文化和教育服务人员,3.07,4.33,6.17,9.55,15.6,25-9000,其他教育指导和图书馆职业,0.7857507435093641,29.0,4.0,Q3中高(6.1-7.1万),0.5409836065573771,0.9508196721311475,-0.4098360655737704,25,教育
健康、体育和休闲服务人员,2.82,3.56,4.8,6.83,10.16,29-2000,健康技师和技术员,0.5049717092827487,54.0,19.0,Q1低薪(≤5.2万),0.13114754098360656,0.7049180327868853,-0.5737704918032787,29,医疗
农业生产人员,2.3,2.85,3.9,4.97,6.34,45-2000,农业工人,0.476863048145576,61.0,23.5,Q1低薪(≤5.2万),0.01639344262295082,0.6311475409836066,-0.6147540983606558,45,农业
