City_Rank,City_Native_Name,City_English_Name,Country,Population,Growth_Rate_pct,Area_km2,Status,Remark,Data_Source,Reference_Date
1,Guăngzhōu,Canton,China,73600000,3.3,,Adm-Urb,"Northern Pearl River Delta; incl. Dōngguān, Fóshān, Huìzhōu, Jiāngmén, Shēnzhèn, Zhōngshān",citypopulation.de,2026-01-01
2,Shànghăi,Shanghai,China,42300000,1.9,,Adm-Urb,"incl. Chángshú, Chángzhōu, Sūzhōu, Wúxī",citypopulation.de,2026-01-01
3,Tōkyō,Tokyo,Japan,41300000,.4,16217.51,Aggl,"incl. Chiba, Kawasaki, Maebashi, Sagamihara, Saitama, Utsunomiya, Yokohama",citypopulation.de,2026-01-01
4,Delhi,Delhi,India,36900000,3.3,,Congl,"incl. Faridabad, Ghaziabad, Gurgaon",citypopulation.de,2026-01-01
5,Jakarta,Jakarta,Indonesia,29800000,1.1,3310.95,Aggl,"incl. Bekasi, Bogor, Depok, Tangerang, Tangerang Selatan",citypopulation.de,2026-01-01
6,Mumbai,Bombay,India,28100000,1.9,,Congl,"incl. Bhiwandi, Kalyan, Thane, Ulhasnagar, Vasai-Virar",citypopulation.de,2026-01-01
7,Manila,Manila,Philippines,27100000,1.4,2730.34,Aggl,"incl. Kalookan, Quezon City",citypopulation.de,2026-01-01
8,Ciudad de México,Mexico City,Mexico,25600000,.9,5809.8,CUA,"incl. Nezahualcóyotl, Ecatepec, Naucalpan",citypopulation.de,2026-01-01
9,Seoul,Seoul,Korea (South),25400000,.55,4045.67,CUA,"incl. Bucheon, Goyang, Incheon, Seongnam, Suweon",citypopulation.de,2026-01-01
10,Dhaka,Dacca,Bangladesh,23700000,2.6,1845.67,Aggl,,citypopulation.de,2026-01-01
11,Al-Qāhirah,Cairo,Egypt,23200000,1.8,2733.87,Aggl,"incl. Al-Jīzah [Giza], Shubrā al-Khaymah",citypopulation.de,2026-01-01
12,São Paulo,São Paulo,Brazil,22700000,.7,3191.15,CUA,incl. Guarulhos,citypopulation.de,2026-01-01
13,New York,New York,United States of America,22600000,-.1,14904.74,CUA,"incl. Bridgeport, Newark, New Haven",citypopulation.de,2026-01-01
14,Krung Thep,Bangkok,Thailand,22400000,3,,Aggl,,citypopulation.de,2026-01-01
15,Lagos,Lagos,Nigeria,21900000,3,,,(population of low reliability),citypopulation.de,2026-01-01
16,Bĕijīng,Beijing,China,21800000,1.5,,Adm-Urb,,citypopulation.de,2026-01-01
16,Karāchi,Karachi,Pakistan,21800000,4,,CUA,,citypopulation.de,2026-01-01
18,Moskva,Moscow,Russia,19100000,.8,,Aggl,,citypopulation.de,2026-01-01
19,Chéngdū,Chengtu,China,18300000,4,,Adm-Urb,,citypopulation.de,2026-01-01
20,Kolkata,Calcutta,India,18100000,1.2,,Congl,incl. Haora,citypopulation.de,2026-01-01
21,Ōsaka,Osaka,Japan,17700000,-.05,7489.31,Aggl,"incl. Himeji, Kōbe, Kyōto, Sakai",citypopulation.de,2026-01-01
22,Los Angeles,Los Angeles,United States of America,17400000,-.15,8339.41,CUA,"incl. Anaheim, Riverside",citypopulation.de,2026-01-01
23,Tehrān,Tehran,Iran,17200000,2,,Aggl,incl. Karaj,citypopulation.de,2026-01-01
24,Buenos Aires,Buenos Aires,Argentina,17000000,1,,CUA,"incl. San Justo, La Plata",citypopulation.de,2026-01-01
25,Kinshasa,Kinshasa,Congo (Dem. Rep.),16900000,4,,City,(population of low reliability),citypopulation.de,2026-01-01
26,İstanbul,Istanbul,Turkey,16200000,1,,Aggl,incl. Gebze,citypopulation.de,2026-01-01
