Country,Year,Data_Source,Data_Quality_Flag,Population_Total,Birth_Rate_per_1000,Death_Rate_per_1000,Population_Growth_pct,Fertility_Rate,Life_Expectancy_Years,Urbanization_pct,Infant_Mortality_per_1000,GDP_USD,GDP_per_Capita_USD,GDP_Growth_pct,Inflation_pct,Unemployment_pct,Trade_pct_of_GDP,CP_Birth_Rate,CP_Death_Rate,CP_Life_Expectancy,CP_Fertility_Rate,CP_Urbanization_pct,CP_Median_Age,CP_Pop_Growth_pct
Afghanistan,2015,World Bank Open Data (API) | citypopulation.de (supplement),Complete,33831764,39.364,7.528,3.11995924146907,5.652,62.27,24.4649118421568,64,19134221644.7325,565.569730408751,1.45131466066431,-0.661709164713741,9.032,43.3464195931026,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2016,World Bank Open Data (API) | citypopulation.de (supplement),Complete,34700612,38.732,7.32,2.53571991833963,5.542,62.646,24.6588345720126,61.9,18116572395.0772,522.082215583898,2.26031420279821,4.38389195513914,10.116,39.3562305524053,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2017,World Bank Open Data (API) | citypopulation.de (supplement),Complete,35688935,38.171,7.315,2.80833730805469,5.433,62.406,24.8352821238871,60.1,18753456497.8159,525.469770891619,2.6470032027451,4.97595150553832,11.184,41.5283443929765,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2018,World Bank Open Data (API) | citypopulation.de (supplement),Complete,36743039,37.624,7.271,2.91080959861384,5.327,62.443,24.9991645191406,58.3,18053222687.4126,491.337221382603,1.18922812944517,0.626149149168846,11.192,45.8754658013193,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2019,World Bank Open Data (API) | citypopulation.de (supplement),Complete,37856121,37.138,7.064,2.98438913621969,5.238,62.941,25.1437258839803,56.6,18799444490.1128,496.6025042585,3.91160341625552,2.30237251516833,11.187,40.6448180105462,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2020,World Bank Open Data (API) | citypopulation.de (supplement),Complete,39068979,36.601,7.565,3.15360920291972,5.145,61.454,25.2622103446137,54.9,19955929052.1496,510.787063366811,-2.35110067203466,5.60188791482224,11.71,36.6557727324253,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2021,World Bank Open Data (API) | citypopulation.de (supplement),Complete,40000412,36.342,8.002,2.35609779179185,5.039,60.417,25.3478620272481,53.2,14259995441.0759,356.496214115892,-20.7388393676343,5.13320340824962,12.006,43.8008555178664,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2022,World Bank Open Data (API) | citypopulation.de (supplement),Complete,40578842,36.045,5.993,1.43570437048699,4.932,65.617,25.3939250580909,51.6,14497243872.1337,357.261152798144,-6.24017199240269,13.7121023720064,14.1,32.0681644111416,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2023,World Bank Open Data (API) | citypopulation.de (supplement),Complete,41454761,35.437,5.797,2.13559384981397,4.84,66.035,25.4730529631167,49.9,17152234636.8715,413.757894705303,2.26694373649188,-4.64470870797774,14.008,27.4424883967104,36.08,12.57,53.25,4.72,26.0,19.5,2.34
Afghanistan,2024,World Bank Open Data (API) | citypopulation.de (supplement),Good,42647492,35.007,5.702,2.83657317243522,4.761,66.289,25.7007352636188,48.3,,,,-6.60118564073725,13.687,21.4181363539681,36.08,12.57,53.25,4.72,26.0,19.5,2.34
