Country,Region_Name,Region_Type,Reference_Date,Population,Area_km2,Data_Source,Notes
China,Ānhuī,Province/Municipality,1982-07-01,49665724,139900.0,citypopulation.de,
China,Ānhuī,Province/Municipality,1990-07-01,56181005,139900.0,citypopulation.de,
China,Ānhuī,Province/Municipality,2000-11-01,58999948,139900.0,citypopulation.de,
China,Ānhuī,Province/Municipality,2010-11-01,59500468,139900.0,citypopulation.de,
China,Ānhuī,Province/Municipality,2020-11-01,61027171,139900.0,citypopulation.de,
China,Bĕijīng,Province/Municipality,1982-07-01,9230687,16800.0,citypopulation.de,
China,Bĕijīng,Province/Municipality,1990-07-01,10819414,16800.0,citypopulation.de,
China,Bĕijīng,Province/Municipality,2000-11-01,13569194,16800.0,citypopulation.de,
China,Bĕijīng,Province/Municipality,2010-11-01,19612368,16800.0,citypopulation.de,
China,Bĕijīng,Province/Municipality,2020-11-01,21893095,16800.0,citypopulation.de,
China,Chóngqìng,Province/Municipality,1990-07-01,28866208,82000.0,citypopulation.de,
China,Chóngqìng,Province/Municipality,2000-11-01,30512763,82000.0,citypopulation.de,
China,Chóngqìng,Province/Municipality,2010-11-01,28846170,82000.0,citypopulation.de,
China,Chóngqìng,Province/Municipality,2020-11-01,32054159,82000.0,citypopulation.de,
China,Fújiàn,Province/Municipality,1982-07-01,25873259,123100.0,citypopulation.de,
China,Fújiàn,Province/Municipality,1990-07-01,30048275,123100.0,citypopulation.de,
China,Fújiàn,Province/Municipality,2000-11-01,34097947,123100.0,citypopulation.de,
China,Fújiàn,Province/Municipality,2010-11-01,36894217,123100.0,citypopulation.de,
China,Fújiàn,Province/Municipality,2020-11-01,41540086,123100.0,citypopulation.de,
China,Gānsù,Province/Municipality,1982-07-01,19569261,366500.0,citypopulation.de,
China,Gānsù,Province/Municipality,1990-07-01,22371085,366500.0,citypopulation.de,
China,Gānsù,Province/Municipality,2000-11-01,25124282,366500.0,citypopulation.de,
China,Gānsù,Province/Municipality,2010-11-01,25575263,366500.0,citypopulation.de,
China,Gānsù,Province/Municipality,2020-11-01,25019831,366500.0,citypopulation.de,
China,Guăngdōng,Province/Municipality,1982-07-01,59299220,197100.0,citypopulation.de,
China,Guăngdōng,Province/Municipality,1990-07-01,62829741,197100.0,citypopulation.de,
China,Guăngdōng,Province/Municipality,2000-11-01,85225007,197100.0,citypopulation.de,
China,Guăngdōng,Province/Municipality,2010-11-01,104320459,197100.0,citypopulation.de,
China,Guăngdōng,Province/Municipality,2020-11-01,126012510,197100.0,citypopulation.de,
China,Guăngxī,Province/Municipality,1982-07-01,36420960,220400.0,citypopulation.de,
China,Guăngxī,Province/Municipality,1990-07-01,42244884,220400.0,citypopulation.de,
China,Guăngxī,Province/Municipality,2000-11-01,43854538,220400.0,citypopulation.de,
China,Guăngxī,Province/Municipality,2010-11-01,46023761,220400.0,citypopulation.de,
China,Guăngxī,Province/Municipality,2020-11-01,50126804,220400.0,citypopulation.de,
China,Guìzhōu,Province/Municipality,1982-07-01,28552997,174000.0,citypopulation.de,
China,Guìzhōu,Province/Municipality,1990-07-01,32391051,174000.0,citypopulation.de,
China,Guìzhōu,Province/Municipality,2000-11-01,35247695,174000.0,citypopulation.de,
